UniqueID,Company,RequestingLocation,Name,PostalAddress.Country,PostalAddress.DeliveryAddress.AddressLine1,PostalAddress.DeliveryAddress.AddressLine2,PostalAddress.DeliveryAddress.AddressLine3,PostalAddress.DeliveryAddress.AddressLine4,PostalAddress.Municipality,PostalAddress.StateProvince,PostalAddress.PostalCode,PostalAddress.County,PostalAddress.Region,PostalAddress.Type,PostalAddress.GeoLatitude,PostalAddress.GeoLongitude,PostalAddress.GeoAltitude,PostalAddress.NationalIDNumber,PostalAddress.StateProvinceIDNumber,PostalAddress.LocaleIDNumber,PostalAddress.IndividualIDNumber,PostalAddress.EnterpriseGroup,PostalAddress.Company,PostalAddress.PreferredCountry,PostalAddress.DisplayAddressArray.DisplayAddressLine[1],PostalAddress.DisplayAddressArray.DisplayAddressLine[2],PostalAddress.DisplayAddressArray.DisplayAddressLine[3],PostalAddress.DisplayAddressArray.DisplayAddressLine[4],PostalAddress.DisplayAddressArray.DisplayAddressLine[5],PostalAddress.DisplayAddressArray.DisplayAddressLine[6],PostalAddress.CountryName,PostalAddress.DisplayAddressLine1,PostalAddress.DisplayAddressLine2,PostalAddress.DisplayAddressLine3,PostalAddress.DisplayAddressLine4,PostalAddress.DisplayAddressLine5,PostalAddress.DisplayAddressLine6,PostalAddress.FormattedAddress1,PostalAddress.FormattedAddress2,PostalAddress.DisplayAddressCommaSeparated,PostalAddress.GoogleMapUrl,InventoryTransactionType,Buyer,FromCompanyLocation.FromCompany,FromCompanyLocation.FromLocation,POCode,ProcessLevel,FillOrKill,Stockless,RequisitionApprovalType,Active,OneSourceDocumentToOnePO,ProcurementCardNumber,GlobalLocationNumber,LocationRule,PurchaseTaxCode,PurchaseTaxable,IssueAccount.Ledger,IssueAccount.ToAccountingEntity,IssueAccount.AccountingUnit,IssueAccount.GeneralLedgerChartAccount,IssueAccount.Project,IssueAccount.FinanceDimension1,IssueAccount.FinanceDimension2,IssueAccount.FinanceDimension3,IssueAccount.FinanceDimension4,IssueAccount.FinanceDimension5,IssueAccount.FinanceDimension6,IssueAccount.FinanceDimension7,IssueAccount.FinanceDimension8,IssueAccount.FinanceDimension9,IssueAccount.FinanceDimension10,IssueAccount.FinanceEnterpriseGroup,IssueAccount.AccountingEntity,IssueAccount.DimensionCode,IssueAccount.OrganizationString,Picture.Title,Picture.File,Picture.MimeType,Picture.MaxImageSize,Picture.FileSizeBytes,Picture.FileSizeMB,Picture.MaxImageSizeMB,PricingGroup,UsedByATransaction
c7c03fd1-a680-99c2-0000-491a5b7b6677,1,10E,10th Floor East,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN SL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-49365b7b6677,1,10N,10th Floor North,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN SL,,,F,FALSE,,TRUE,FALSE,,,,2,TRUE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-49525b7b6677,1,10S,10th Floor South,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN CSL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-496e5b7b6677,1,10W,10th Floor West,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN SL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-498a5b7b6677,1,11E,11th Floor East,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-49a65b7b6677,1,11N,11th Floor North,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,FALSE
c7c03fd1-a680-99c2-0000-49c25b7b6677,1,11S,11th Floor South,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,FALSE
c7c03fd1-a680-99c2-0000-49de5b7b6677,1,11W,11th Floor West,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,FALSE
c7c03fd1-a680-99c2-0000-49fa5b7b6677,1,12E,12th Floor East,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
c7c03fd1-a680-99c2-0000-4a165b7b6677,1,12N,12th Floor North,,,,,,,,,,,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,http://maps.google.com/maps?q=,IS,0,1,MAIN AL,,,F,FALSE,,TRUE,FALSE,,,,2,TRUE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::,,com.lawson.rdtech.type.BinaryDocument@0,,0,0,0,0,,TRUE
