UniqueID,Company,InventoryLocation,WarehouseShipment,WarehouseDemand.DemandSystemCode,WarehouseDemand.DemandDocument,WarehouseDemand.DemandCompany,DemandDocumentType,CustomerShipTo,Destination,ProcessLevel,WarehouseBatch,Status,OperatorID,RequirePickingFeedback,RequirePackingFeedback,PrintDate,PickDate,PackDate,ShipDate,GeneralLedgerDate,RouteHeader.Date,RouteHeader.Route,EstimatedDeliveryDate,Vendor,BasedOnPurchaseOrderReceipt,RouteStop,BillOfLading,Carrier,ShippingMethod,TransactionId,FreightCode,RequireFreight,FreightCharges,NumberOfCartons,StockVolume,CubicAdjustment,CubicTotal,StockWeight,WeightAdjustment,WeightTotal,PackingList,PrintPOD,PODReturnDate,InvoicePrefix,InvoiceNumber,CompanyAndLocation.RequestingCompany,CompanyAndLocation.RequestingLocation,DocumentNumberNumeric,IntrastatNumber,ShipTerm,PortCode,NatureOfTransactionCode,StatisticalProcedure,VATRegistrationNumber,BODAccountingEntity,BODLocation,BODDocument,GlobalDocumentType,TemporaryHold,BillOfLadingIDMDocumentSequence
b0a40f3d-f680-593a-0000-00e55e241484,1,DIST,1,RQ,3223,1,IS,0,OR,,4,0,inforhc2,FALSE,FALSE,1/29/2020,,,,,,0,1/29/2020,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,OR,0,0,,,,,,,,,,,0
015b161c-b398-0000-0015-a709538f85a8,1,MAIN,1,RQ,36,1,,0,RAD,,1,5,inforhc1,FALSE,FALSE,4/10/2017,,,9/5/2017,9/5/2017,,0,2/1/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,RAD,0,0,,,,,,,,,,,0
015b161c-b398-0000-0015-a736538f85a8,1,MAIN,2,RQ,40,1,,0,3N,,1,5,inforhc1,FALSE,FALSE,4/10/2017,,,9/5/2017,9/5/2017,,0,2/10/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,3N,0,0,,,,,,,,,,,0
015be985-3f33-0000-0013-d2a8538f85a8,1,MAIN,3,RQ,102,1,,0,RAD,,2,0,inforhc2,FALSE,FALSE,5/24/2017,,,,,,0,5/9/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,RAD,0,0,,,,,,,,,,,0
015be985-3f33-0000-0013-d2d8538f85a8,1,MAIN,4,RQ,134,1,,0,OR,,2,0,inforhc2,FALSE,FALSE,5/24/2017,,,,,,0,5/24/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,OR,0,0,,,,,,,,,,,0
015be985-3f33-0000-0013-d2dc538f85a8,1,MAIN,5,RQ,135,1,,0,OR,,2,5,inforhc2,FALSE,FALSE,5/24/2017,,,6/13/2018,6/13/2018,,0,5/24/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,OR,0,0,,,,,,,,,,,0
015be985-3f33-0000-0013-d2e0538f85a8,1,MAIN,6,RQ,154,1,,0,RAD,,2,5,inforhc2,FALSE,FALSE,5/24/2017,,,5/24/2017,5/24/2017,,0,5/24/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,RAD,0,0,,,,,,,,,,,0
015c813c-e4f6-0000-0001-1db4538f85a8,1,MAIN,7,RQ,95,1,,0,ER,,3,5,inforhc1,FALSE,FALSE,6/7/2017,,,6/22/2017,6/22/2017,,0,5/4/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,ER,0,0,,,,,,,,,,,0
015c813c-e4f6-0000-0001-1df6538f85a8,1,MAIN,8,RQ,159,1,,0,RAD,,3,5,inforhc1,FALSE,FALSE,6/7/2017,,,3/7/2018,3/7/2018,,0,5/25/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,RAD,0,0,,,,,,,,,,,0
015c813c-e4f6-0000-0001-1e07538f85a8,1,MAIN,9,RQ,166,1,,0,RAD,,3,5,inforhc1,FALSE,FALSE,6/7/2017,,,3/7/2018,3/7/2018,,0,5/25/2017,0,FALSE,0,,0,,,,N,0,0,0,0,0,0,0,0,FALSE,FALSE,,,0,1,RAD,0,0,,,,,,,,,,,0
