UniqueID,Company,PurchaseOrderReceipt,PORelease,POCode,Reference1,Reference2,ReferenceNumber,PurchaseOrder,ShipToLocation,PurchaseOrderLocation,OperatorID,Buyer,BillOfLading,ReceivedDate,Carrier,Vendor,PurchaseFromLocation,Status,Logged,ReprintReceipt,ERSStatus,InvoiceReference,Invoice,Comments.Comment[1],Comments.Comment[2],Comments.Comment[3],Comments.Comment[4],Comments.Comment[5],PrintCode,ReceiptAmount,MatchedAmount,Currency,ProcessLevel,ReceiptCurrencyConversionRate,TermCode,ShipToArriveDate,MatchPrepayment,AddOnChargeTotal,HashQuantity,HashQuantityMatched,CrossReferenceVendor,RetailFlag,CreatedBy,LastUpdateDate,LastUpdateBy,ReleasingOperatorID,FreightTotal,InsuranceTotal,CustomsTotal,OtherAddOnChargesTotal,GlobalDocumentType,TemporaryHold,MatchReferenceNumber,InterfaceInProcess,OriginatingInterfaceRun,IDMPrinter,Damaged
0157c1d1-fdd2-0000-0005-23a157e97174,1,1,0,,,,,1,MAIN,,inforhc4,4,,"Tuesday, 29 November 2016 06:39:43.00 AM",0,8,,9,FALSE,FALSE,1,,,,,,,,A,350,350,USD,1,1,,,FALSE,0,10,10,,0,inforhc4,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0005-e84457e97174,1,2,0,,,,,2,MAIN,,inforhc4,4,,"Saturday, 03 December 2016 07:51:51.00 AM",0,6,,9,FALSE,FALSE,1,,,,,,,,A,12000,12000,USD,1,1,,,FALSE,0,0,1,,0,inforhc4,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-257f57e97174,1,3,0,,,,,3,MAIN,,inforhc4,4,,"Tuesday, 06 December 2016 07:13:33.00 AM",0,3,,9,FALSE,FALSE,1,,,,,,,,A,1249,1249,USD,1,1,21030,,FALSE,0,1,1,,0,inforhc4,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-94c457e97174,1,4,0,,,,,4,MAIN,,inforhc4,4,,"Thursday, 08 December 2016 09:52:09.00 AM",0,2,,9,FALSE,FALSE,1,,,,,,,,A,1949,1949,USD,1,1,,,FALSE,0,1,1,,0,inforhc4,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-c47d57e97174,1,5,0,,,,,6,MAIN,,inforhc2,2,,"Thursday, 15 December 2016 03:35:49.00 AM",0,8,,9,FALSE,FALSE,1,,,,,,,,A,450,450,USD,1,1,,,FALSE,0,1,1,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-d3c057e97174,1,6,0,,,,,7,MAIN,,inforhc2,1,,"Thursday, 15 December 2016 04:09:20.00 AM",0,2,,1,FALSE,FALSE,1,,,,,,,,A,700,0,USD,1,1,,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015909a5-49a3-0000-0000-1cb257e97174,1,7,0,,,,,8,MAIN,,inforhc2,2,,"Wednesday, 28 December 2016 00:56:17.00 AM",0,8,,1,FALSE,FALSE,1,,,,,,,,A,700,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0159d7c6-878d-0000-0002-bc8c538f85a8,1,8,0,,,,,9,MAIN,,inforhc2,2,,"Saturday, 28 January 2017 00:36:36.00 AM",0,8,,9,FALSE,FALSE,1,,,,,,,,A,450,450,USD,1,1,21030,,FALSE,0,1,1,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
0159d7c6-878d-0000-000b-f033538f85a8,1,9,0,,,,,10,MAIN,,inforhc2,2,,"Tuesday, 31 January 2017 01:06:01.00 AM",0,8,,1,FALSE,FALSE,1,,,,,,,,A,700,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015a0432-f6d4-0000-0000-76d8538f85a8,1,10,0,,,,,12,MAIN,,inforhc2,2,,"Friday, 03 February 2017 22:22:14.00 PM",0,8,,9,FALSE,FALSE,1,,,,,,,,A,485,485,USD,1,1,21030,,FALSE,0,2,2,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015a1e3f-d262-0000-0006-e7b0538f85a8,1,11,0,,,,,13,MAIN,,inforhc2,2,,"Thursday, 09 February 2017 23:11:29.00 PM",0,8,,1,FALSE,FALSE,1,,,,,,,,A,35,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015aaba5-59cb-0000-0001-33ee538f85a8,1,12,0,,,,,15,MAIN,,inforhc4,4,,"Wednesday, 08 March 2017 23:08:56.00 PM",0,2,,9,FALSE,FALSE,1,,,,,,,,A,2820,2820,USD,1,1,21030,,FALSE,0,4,4,,0,inforhc4,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015b6db7-ab91-0000-0003-db3e538f85a8,1,15,0,,,,,21,MAIN,,inforhc2,2,,"Tuesday, 18 April 2017 23:16:32.00 PM",0,2,,1,FALSE,FALSE,1,,,,,,,,A,300,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015b6db7-ab91-0000-0004-099f538f85a8,1,20,0,,,,,20,MAIN,,inforhc2,4,,"Tuesday, 18 April 2017 23:45:20.00 PM",0,1,,1,FALSE,FALSE,1,,,,,,,,A,1010.8,0,USD,1,1,21030,,FALSE,0,15,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015b6db7-ab91-0000-0004-44d9538f85a8,1,21,0,,,,,22,MAIN,,inforhc2,2,,"Wednesday, 19 April 2017 00:47:50.00 AM",0,1,,1,FALSE,FALSE,1,,,,,,,,A,450,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015b6db7-ab91-0000-000a-6654538f85a8,1,25,0,,,,,33,MAIN,,inforhc1,1,,"Monday, 24 April 2017 21:24:33.00 PM",0,1,,1,FALSE,FALSE,1,,,,,,,,A,0.59,0,USD,1,1,21030,,FALSE,0,1,0,,0,inforhc1,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015b6db7-ab91-0000-000c-1ca2538f85a8,1,27,0,,,,,32,MAIN,,inforhc2,2,,"Tuesday, 25 April 2017 18:45:42.00 PM",0,1,,1,FALSE,FALSE,1,,,,,,,,A,430,0,USD,1,1,21030,,FALSE,0,10,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015ba696-7834-0000-0002-5503538f85a8,1,28,0,,,,,39,MAIN,,inforhc2,2,,"Friday, 28 April 2017 01:35:57.00 AM",0,8,,1,FALSE,FALSE,1,,,,,,,,A,900,0,USD,1,1,21030,,FALSE,0,2,0,,0,inforhc2,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015ba696-7834-0000-0006-eac2538f85a8,1,29,0,,,,,44,MAIN,,inforhc1,2,,"Tuesday, 02 May 2017 06:21:54.00 AM",0,1,,9,FALSE,FALSE,1,,,,,,,,A,129230,129230,USD,1,1,21030,,FALSE,0,1210,1210,,0,inforhc1,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
015bd957-b312-0000-0002-bc93538f85a8,1,30,0,,,,,45,MAIN,,inforhc1,1,,"Monday, 08 May 2017 21:49:33.00 PM",0,1,,1,FALSE,FALSE,1,,,,,,,,A,104.91,0,USD,1,1,21030,,FALSE,0,5,0,,0,inforhc1,,,inforhc1,0,0,0,0,,,,FALSE,0,,FALSE
